point_idx,row,col,x,y,z
460,2,140,-1119.8,522.57,1941.0
461,2,141,-1053.42,483.53,1796.0
462,2,142,-1186.94,536.03,1991.0
463,2,143,-1173.37,521.5,1937.0
464,2,144,-1223.38,535.23,1988.0
465,2,145,-1231.87,530.65,1971.0
466,2,146,-1111.84,471.69,1752.0
467,2,147,-1254.31,524.19,1947.0
468,2,148,-1266.5,521.5,1937.0
469,2,149,-1288.44,522.84,1942.0
470,2,150,-1267.4,506.96,1883.0
471,2,151,-1308.03,515.84,1916.0
472,2,152,-1271.76,494.57,1837.0
473,2,153,-1309.08,502.11,1865.0
474,2,154,-1370.42,518.53,1926.0
475,2,155,-1282.93,478.96,1779.0
476,2,156,-1378.23,507.76,1886.0
477,2,157,-1350.46,491.07,1824.0
478,2,158,-1394.25,500.5,1859.0
479,2,159,-1417.44,502.38,1866.0
480,3,0,1423.07,480.28,1850.0
481,3,1,1362.75,465.75,1794.0
482,3,2,1404.0,486.0,1872.0
483,3,3,1377.85,483.14,1861.0
484,3,4,1418.42,503.91,1941.0
485,3,5,1393.26,501.57,1932.0
486,3,6,1370.42,500.01,1926.0
487,3,7,7.0,3.0,65300.0
488,3,8,1320.23,495.08,1907.0
489,3,9,1275.95,485.22,1869.0
490,3,10,1297.01,500.27,1927.0
491,3,11,1280.48,501.05,1930.0
492,3,12,1226.61,487.03,1876.0
493,3,13,1176.36,474.05,1826.0
494,3,14,1101.69,450.69,1736.0
495,3,15,1184.37,491.97,1895.0
496,3,16,1165.53,491.71,1894.0
497,3,17,1133.39,485.74,1871.0
498,3,18,1139.84,496.38,1912.0
499,3,19,1104.45,488.85,1883.0
500,3,20,1036.73,466.52,1797.0
501,3,21,1100.0,503.39,1939.0
502,3,22,1062.96,494.82,1906.0
503,3,23,993.66,470.68,1813.0
504,3,24,1038.15,500.53,1928.0
505,3,25,946.1,464.45,1789.0
506,3,26,948.63,474.31,1827.0
507,3,27,905.07,461.07,1776.0
508,3,28,969.5,503.39,1939.0
509,3,29,902.79,477.95,1841.0
510,3,30,898.55,485.22,1869.0
511,3,31,930.05,512.48,1974.0
512,3,32,850.61,478.47,1843.0
513,3,33,834.25,479.25,1846.0
514,3,34,820.92,481.84,1856.0
515,3,35,815.19,489.11,1884.0
516,3,36,775.92,476.13,1834.0
517,3,37,760.35,477.43,1839.0
518,3,38,747.51,480.54,1851.0
519,3,39,739.97,487.29,1877.0
520,3,40,735.0,496.12,1911.0
521,3,41,709.5,491.19,1892.0
522,3,42,645.26,458.48,1766.0
523,3,43,623.3,454.84,1752.0
524,3,44,621.34,466.0,1795.0
525,3,45,581.2,448.35,1727.0
526,3,46,570.8,453.28,1746.0
527,3,47,563.53,461.07,1776.0
528,3,48,536.92,453.02,1745.0
529,3,49,485.56,422.91,1629.0
530,3,50,503.94,453.54,1747.0
531,3,51,486.58,453.02,1745.0
532,3,52,464.42,447.83,1725.0
533,3,53,477.69,477.69,1840.0
534,3,54,470.5,488.59,1882.0
535,3,55,403.36,435.63,1678.0
536,3,56,421.15,473.79,1825.0
537,3,57,391.22,459.25,1769.0
538,3,58,385.0,472.5,1820.0
539,3,59,353.97,455.1,1753.0
540,3,60,345.57,466.52,1797.0
541,3,61,331.76,471.46,1816.0
542,3,62,284.71,427.06,1645.0
543,3,63,275.43,437.45,1685.0
544,3,64,272.76,460.29,1773.0
545,3,65,244.18,439.52,1693.0
546,3,66,252.94,487.81,1879.0
547,3,67,231.12,480.02,1849.0
548,3,68,205.73,462.89,1783.0
549,3,69,190.8,468.34,1804.0
550,3,70,168.26,454.32,1750.0
551,3,71,155.42,466.26,1796.0
552,3,72,123.84,417.98,1610.0
553,3,73,123.44,476.13,1834.0
554,3,74,103.55,466.0,1795.0
555,3,75,86.68,468.08,1803.0
556,3,76,67.57,456.14,1757.0
557,3,77,54.31,488.85,1883.0
558,3,78,34.42,464.71,1790.0
559,3,79,17.7,477.95,1841.0
560,3,80,0.0,420.05,1618.0
561,3,81,-16.93,457.18,1761.0
562,3,82,-36.92,498.46,1920.0
563,3,83,-51.49,463.41,1785.0
564,3,84,-70.38,475.09,1830.0
565,3,85,-78.22,422.39,1627.0
566,3,86,-97.9,440.56,1697.0
567,3,87,-123.77,477.43,1839.0
568,3,88,-149.15,503.39,1939.0
569,3,89,-147.89,443.68,1709.0
570,3,90,-158.36,427.58,1647.0
571,3,91,-194.08,476.39,1835.0
572,3,92,-202.03,454.58,1751.0
573,3,93,-206.37,428.62,1651.0
574,3,94,-235.03,453.28,1746.0
575,3,95,-273.75,492.75,1898.0
576,3,96,-256.92,433.55,1670.0
577,3,97,-286.05,454.32,1750.0
578,3,98,-302.71,454.06,1749.0
579,3,99,-331.4,470.94,1814.0
580,3,100,-335.57,453.02,1745.0
581,3,101,-354.17,455.36,1754.0
582,3,102,-389.01,477.43,1839.0
583,3,103,-388.56,456.14,1757.0
584,3,104,-423.92,476.91,1837.0
585,3,105,-439.66,474.83,1829.0
586,3,106,-441.75,458.74,1767.0
587,3,107,-486.25,486.25,1873.0
588,3,108,-487.57,470.16,1811.0
589,3,109,-520.88,484.96,1868.0
590,3,110,-555.0,499.5,1924.0
591,3,111,-562.76,490.15,1888.0
592,3,112,-581.53,490.67,1890.0
593,3,113,-606.69,496.38,1912.0
594,3,114,-600.55,476.91,1837.0
595,3,115,-628.31,484.7,1867.0
596,3,116,-670.15,502.61,1936.0
597,3,117,-710.47,518.45,1997.0
598,3,118,-708.48,503.39,1939.0
599,3,119,-682.5,472.5,1820.0
600,3,120,-741.15,500.27,1927.0
601,3,121,-757.31,498.72,1921.0
602,3,122,-751.55,483.14,1861.0
603,3,123,-800.87,502.87,1937.0
604,3,124,-790.3,484.96,1868.0
605,3,125,-809.56,485.74,1871.0
606,3,126,-847.9,497.68,1917.0
607,3,127,-822.04,472.24,1819.0
608,3,128,-868.61,488.59,1882.0
609,3,129,-867.39,477.95,1841.0
610,3,130,-897.59,484.7,1867.0
611,3,131,-880.73,466.26,1796.0
612,3,132,-917.0,476.13,1834.0
